0	0
1	0
8	0
11	0
12	0
24	1
27	1
32	1
36	1
39	1
40	2
41	2
42	2
43	2
57	2
60	3
62	3
68	3
78	3
79	3
80	4
83	4
89	4
91	4
92	4
100	5
101	5
102	5
108	5
118	5
120	6
121	6
128	6
132	6
134	6
142	7
146	7
152	7
155	7
156	7
161	8
162	8
169	8
178	8
179	8
186	9
188	9
189	9
191	9
195	9
200	10
201	10
202	10
215	10
216	10
221	11
223	11
229	11
231	11
232	11
240	12
241	12
246	12
252	12
253	12
260	13
261	13
269	13
272	13
279	13
280	14
281	14
285	14
291	14
292	14
300	15
301	15
312	15
313	15
314	15
320	16
321	16
322	16
323	16
339	16
341	17
342	17
346	17
355	17
357	17
360	18
362	18
366	18
369	18
375	18
380	19
381	19
389	19
390	19
392	19
