263	13
393	19
160	8
353	17
288	14
226	11
349	17
190	9
388	19
127	6
84	4
75	3
131	6
105	5
35	1
237	11
326	16
367	18
348	17
159	7
306	15
149	7
307	15
165	8
20	1
395	19
70	3
25	1
177	8
225	11
299	14
319	15
66	3
386	19
305	15
383	19
18	0
138	6
286	14
373	18
167	8
4	0
387	19
287	14
308	15
351	17
33	1
209	10
384	19
276	13
130	6
129	6
247	12
173	8
294	14
343	17
382	19
220	11
97	4
63	3
315	15
361	18
228	11
90	4
325	16
144	7
199	9
257	12
38	1
95	4
262	13
103	5
391	19
117	5
10	0
218	10
396	19
13	0
340	17
208	10
198	9
64	3
258	12
212	10
302	15
267	13
296	14
304	15
324	16
193	9
347	17
99	4
81	4
170	8
115	5
110	5
242	12
234	11
259	12
93	4
290	14
238	11
205	10
345	17
181	9
352	17
284	14
265	13
166	8
397	19
273	13
82	4
182	9
86	4
126	6
47	2
73	3
378	18
379	18
7	0
19	0
87	4
245	12
133	6
15	0
354	17
9	0
239	11
376	18
277	13
206	10
37	1
113	5
34	1
266	13
23	1
54	2
327	16
107	5
256	12
336	16
136	6
98	4
22	1
310	15
123	6
145	7
207	10
275	13
329	16
344	17
85	4
332	16
44	2
158	7
175	8
26	1
106	5
213	10
174	8
49	2
124	6
148	7
248	12
153	7
399	19
139	6
71	3
151	7
30	1
243	12
264	13
249	12
65	3
377	18
374	18
334	16
183	9
111	5
196	9
370	18
235	11
168	8
114	5
5	0
140	7
28	1
244	12
364	18
51	2
52	2
192	9
337	16
172	8
112	5
45	2
295	14
359	17
194	9
283	14
150	7
204	10
59	2
185	9
217	10
316	15
227	11
318	15
135	6
303	15
211	10
330	16
368	18
338	16
2	0
61	3
224	11
56	2
147	7
270	13
58	2
72	3
164	8
143	7
104	5
278	13
333	16
289	14
48	2
233	11
16	0
53	2
6	0
180	9
297	14
365	18
74	3
219	10
250	12
67	3
