182	9
145	7
333	16
316	15
65	3
209	10
111	5
351	17
95	4
70	3
368	18
391	19
23	1
63	3
106	5
74	3
367	18
15	0
376	18
126	6
104	5
374	18
160	8
33	1
278	13
90	4
242	12
61	3
150	7
337	16
52	2
386	19
256	12
86	4
213	10
87	4
212	10
59	2
180	9
71	3
270	13
235	11
238	11
204	10
262	13
308	15
233	11
173	8
310	15
2	0
306	15
289	14
28	1
75	3
348	17
81	4
47	2
67	3
194	9
127	6
174	8
105	5
82	4
144	7
365	18
7	0
249	12
166	8
114	5
388	19
267	13
34	1
30	1
22	1
225	11
347	17
48	2
117	5
373	18
266	13
318	15
395	19
97	4
377	18
257	12
84	4
228	11
336	16
151	7
112	5
378	18
115	5
135	6
18	0
315	15
20	1
334	16
303	15
177	8
133	6
208	10
107	5
37	1
53	2
265	13
38	1
54	2
364	18
297	14
359	17
123	6
66	3
259	12
72	3
276	13
56	2
283	14
199	9
244	12
4	0
58	2
181	9
299	14
211	10
239	11
319	15
326	16
129	6
110	5
330	16
248	12
98	4
353	17
175	8
361	18
288	14
352	17
264	13
227	11
124	6
143	7
49	2
217	10
284	14
207	10
103	5
304	15
344	17
324	16
287	14
51	2
226	11
302	15
138	6
343	17
397	19
153	7
193	9
393	19
113	5
338	16
93	4
370	18
234	11
190	9
295	14
170	8
13	0
198	9
172	8
383	19
131	6
25	1
205	10
387	19
5	0
263	13
340	17
290	14
149	7
6	0
250	12
26	1
85	4
384	19
382	19
148	7
10	0
73	3
159	7
327	16
45	2
349	17
185	9
245	12
164	8
354	17
183	9
329	16
396	19
305	15
168	8
243	12
307	15
206	10
286	14
247	12
35	1
165	8
294	14
332	16
258	12
136	6
237	11
19	0
130	6
219	10
139	6
218	10
158	7
44	2
379	18
220	11
16	0
192	9
140	7
345	17
296	14
147	7
273	13
399	19
9	0
224	11
275	13
99	4
196	9
325	16
167	8
277	13
64	3
